Case Name,Case URL,Case Number,Last Updated,Enforcement Authority,Location,Sectors,Complaint Types,Topics,Dispositions
Customer claims telecommunications company refused access to account records - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-031/,#2002-31,"January 8, 2002",OPC,Canada,Telecommunications,Access,Access to personal information,Resolved
Web-centred company's safeguards and handling of access request and privacy complaint questioned - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-315/,#2005-315,"August 31, 2005",OPC,Canada,Telecommunications,Access; Challenging Compliance; Safeguards,Access to personal information; Internet and online,Well-founded
Company refuses former employee's request for access - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-285/,#2004-285,"January 17, 2005",OPC,Canada,Transportation,Access,Access to personal information,Well-founded
Insurance company collected and used credit score for inappropriate purpose during auto insurance claims assessment process - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2017/pipeda-2017-003/,#2017-003,"October 4, 2017",OPC,Canada,Financial Institutions; Insurance,Appropriate Purposes; Consent; Openness,Consent,Well-founded and conditionally resolved
Video surveillance cameras at food processing plant questioned - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-290/,#2005-290,"April 8, 2005",OPC,Canada,Other,Collection; Use and Disclosure,Consent; Privacy at work; Surveillance and monitoring,Well-founded
Telecommunications company publishes customer's address without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-231/,#2003-231,"October 1, 2003",OPC,Canada,Telecommunications,Use and Disclosure,Consent,Well-founded
Telecommunications company accused of inappropriately using customer information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-038/,#2002-38,"January 22, 2002",OPC,Canada,Telecommunications,Use and Disclosure,Consent,Not well-founded
Adult daughter required to submit insurance claims through her father and consent to disclose personal information to her father upon claiming benefits from his private health insurance plan - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2013/pipeda-2013-012/,#2013-012,"May 15, 2014",OPC,Canada,Health; Insurance,Consent,Consent; Health/medical Information,Not well-founded
Transit driver objects to use of technology (MDT and GPS) on company vehicle - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2009/pipeda-2009-011/,#2009-011,"December 1, 2009",OPC,Canada,Transportation,Collection,Privacy at work,Not well-founded
Insurance broker asked to amend privacy language - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-385/,#2007-385,"September 17, 2008",OPC,Canada,Insurance,Consent,Consent,Resolved
Bank provides former employee with insufficient access to his personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2013/pipeda-2013-004/,#2013-004,"November 4, 2013",OPC,Canada,Financial Institutions,Access,Access to personal information,Well-founded and resolved
"Property management company agrees to scrap ""bad tenant list"" - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2016/pipeda-2016-002/,#2016-002,"May 20, 2016",OPC,Canada,Accommodations,Collection,Access to personal information; Consent,Well-founded and resolved
Poor response to customer’s access requests causes unnecessary deletion of his personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2010/pipeda-2010-003/,#2010-003,"November 30, 2010",OPC,Canada,Telecommunications,Access; Retention and Disposal; Time Limit,Access to personal information,Well-founded and resolved
Insurance provider revises retention period and practices for insurance quotes containing personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2014/pipeda-2014-019/,#2014-019,"December 15, 2015",OPC,Canada,Insurance,Retention and Disposal,N/A,Well-founded and resolved
Pharmacy's privacy policy and practices considered exemplary - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-302/,#2005-302,"June 8, 2005",OPC,Canada,Sales,Collection; Consent,Health/medical Information,Not well-founded
